year,month,t
1991,4,11.18954118429668
1991,5,17.192439267035883
1991,6,21.58572838196472
1991,7,23.436359056762562
1991,8,22.98780914233347
1991,9,17.806577750772533
1991,10,11.388149382008647
1991,11,1.6108393194023076
1991,12,0.6943863687948176
1992,1,-0.22176253068414198
1992,2,2.9212416358669047
1992,3,6.0098246486797775
1992,4,10.098478721691503
1992,5,15.718766191032653
1992,6,19.194450447082197
1992,7,21.159471263837386
1992,8,19.953786588477634
1992,9,17.324475135441062
1992,10,11.408945509653359
1992,11,2.9739276849019296
1992,12,-2.3079990759394007
1993,1,-4.174016796934683
1993,2,-3.5700204611623114
1993,3,3.26744368264327
1993,4,8.790854201837915
1993,5,15.445006525843915
1993,6,19.323630993876222
1993,7,22.30817970941191
1993,8,22.16263444396873
1993,9,15.908103828601188
1993,10,10.363033332490456
1993,11,2.202595308985594
1993,12,-0.35583709255625434
1994,1,-5.079998447522709
1994,2,-3.633803667925216
1994,3,5.130011092904429
1994,4,10.516542242478652
1994,5,15.73396966001924
1994,6,21.65077306773244
1994,7,22.28574091792199
1994,8,21.96807000728003
1994,9,18.09042650088457
1994,10,11.966721348115177
1994,11,5.309491367120085
1994,12,0.7531394311382216
1995,1,-2.4002015466217412
1995,2,0.33726111920627294
1995,3,4.368649141280408
1995,4,8.493511367070463
1995,5,13.893091018829121
1995,6,20.06115928458933
1995,7,22.993513817285727
1995,8,24.156451894512873
1995,9,17.053340868901184
1995,10,11.291452757658282
1995,11,2.8907663502561367
1995,12,-1.7575448477246147
1996,1,-5.013847122946295
1996,2,-0.9625929890767794
1996,3,0.6042858500596637
1996,4,9.013891930525382
1996,5,15.252881120331994
1996,6,20.864040938202674
1996,7,22.347440568631548
1996,8,22.174303336587915
1996,9,16.771253504169707
1996,10,11.343074414556092
1996,11,1.0866031278567843
1996,12,-2.315586932302392
1997,1,-4.905955939348682
1997,2,0.11531446418142162
1997,3,4.926095920073643
1997,4,7.255662592129561
1997,5,13.754797395190861
1997,6,20.489986129842467
1997,7,23.009782269585077
1997,8,21.604631875238635
1997,9,18.667188612925422
1997,10,11.598038553785166
1997,11,2.7868098789835933
1997,12,-0.23446485091755676
1998,1,-1.18475768710345
1998,2,2.7625005456645466
1998,3,2.53644945217606
1998,4,10.078043793723543
1998,5,17.52091730399659
1998,6,19.841698171272633
1998,7,24.03442779835971
1998,8,23.257498202239127
1998,9,20.90306016782538
1998,10,12.33441257943803
1998,11,5.985611992724986
1998,12,0.20564502593039963
1999,1,-2.2681951199545645
1999,2,2.8763747827674173
1999,3,4.258892096529093
1999,4,10.367169108153982
1999,5,15.401331978645423
1999,6,20.096961397070142
1999,7,24.012255786714245
1999,8,22.707457969038195
1999,9,16.851695301258008
1999,10,11.400591241461731
1999,11,8.249385999274306
1999,12,0.9421105545601223
2000,1,-1.7264885073128968
2000,2,2.232531779365626
2000,3,6.581621014364605
2000,4,9.952293350423993
2000,5,16.860072469315412
2000,6,19.865788441656445
2000,7,23.31162232896211
2000,8,23.808800939919212
2000,9,18.239035275342307
2000,10,12.501464747077454
2000,11,1.3125756608994723
2000,12,-6.275999215220753
2001,1,-2.4936187778512307
2001,2,-2.517823936506709
2001,3,2.6733631631418406
2001,4,11.48091048685406
2001,5,16.37996931118204
2001,6,20.21922949926464
2001,7,24.17091654297408
2001,8,23.569648513512412
2001,9,17.858437695424687
2001,10,10.961789553022802
2001,11,7.956750174537828
2001,12,0.816640950825026
2002,1,-0.6504038737207577
2002,2,0.565356985307241
2002,3,0.7927657892142738
2002,4,10.333022661633997
2002,5,14.046921537505046
