time,At_Q_m3ps,At_bioN_Mgps,Ms_Q_m3ps,Ms_bioN_Mgps
10/6/1987 9:00:00 AM,2406.93196032,0.00159719840696647,5493.468238848,0.00404755595048043
10/7/1987 9:00:00 AM,2237.030880768,0.00148445499000413,5266.933466112,0.00388064642674928
10/8/1987 9:00:00 AM,2208.714034176,0.00146566442051041,5153.666079744,0.0037971916648837
10/9/1987 9:00:00 AM,2208.714034176,0.00146566442051041,5012.081846784,0.00369287321255173
10/10/1987 9:00:00 AM,2152.080340992,0.00142808328152296,4898.814460416,0.00360941845068616
10/11/1987 9:00:00 AM,2152.080340992,0.00142808328152296,4757.230227456,0.00350509999835419
10/12/1987 9:00:00 AM,2010.496108032,0.00133413043405435,4643.962841088,0.00342164523648861
10/13/1987 9:00:00 AM,1897.228721664,0.00125896815607945,4502.378608128,0.00331732678415664
10/14/1987 9:00:00 AM,1982.17926144,0.00131533986456062,4360.794375168,0.00321300833182467
10/15/1987 9:00:00 AM,1868.911875072,0.00124017758658573,4332.477528576,0.00319214464135828
10/16/1987 9:00:00 AM,1812.278181888,0.00120259644759828,4275.843835392,0.00315041726042549
10/17/1987 9:00:00 AM,1727.327642112,0.00114622473911711,4247.5269888,0.00312955356995909
10/18/1987 9:00:00 AM,1699.01079552,0.00112743416962339,4247.5269888,0.00312955356995909
10/19/1987 9:00:00 AM,1642.377102336,0.00108985303063594,4219.210142208,0.0031086898794927
10/20/1987 9:00:00 AM,1840.59502848,0.00122138701709201,4445.744914944,0.00327559940322385
10/21/1987 9:00:00 AM,1840.59502848,0.00122138701709201,4360.794375168,0.00321300833182467
10/22/1987 9:00:00 AM,1783.961335296,0.00118380587810456,4275.843835392,0.00315041726042549
10/23/1987 9:00:00 AM,2010.496108032,0.00133413043405435,4275.843835392,0.00315041726042549
10/24/1987 9:00:00 AM,1982.17926144,0.00131533986456062,4360.794375168,0.00321300833182467
10/25/1987 8:00:00 AM,1982.17926144,0.00131533986456062,4360.794375168,0.00321300833182467
10/26/1987 8:00:00 AM,1982.17926144,0.00131533986456062,4247.5269888,0.00312955356995909
10/27/1987 8:00:00 AM,1812.278181888,0.00120259644759828,4332.477528576,0.00319214464135828
10/28/1987 8:00:00 AM,1585.743409152,0.0010522718916485,4247.5269888,0.00312955356995909
10/29/1987 8:00:00 AM,1755.644488704,0.00116501530861084,4247.5269888,0.00312955356995909
10/30/1987 8:00:00 AM,1925.545568256,0.00127775872557318,4247.5269888,0.00312955356995909
10/31/1987 8:00:00 AM,1840.59502848,0.00122138701709201,4275.843835392,0.00315041726042549
11/1/1987 8:00:00 AM,1812.278181888,0.00134636785646763,4275.843835392,0.00358022044339312
11/2/1987 8:00:00 AM,1783.961335296,0.00132533085871033,4304.160681984,0.00360393051255467
11/3/1987 8:00:00 AM,1868.911875072,0.00138844185198225,4275.843835392,0.00358022044339312
11/4/1987 8:00:00 AM,1755.644488704,0.00130429386095302,4247.5269888,0.00355651037423158
11/5/1987 8:00:00 AM,1868.911875072,0.00138844185198225,4162.576449024,0.00348538016674695
11/6/1987 8:00:00 AM,1755.644488704,0.00130429386095302,4134.259602432,0.0034616700975854
11/7/1987 8:00:00 AM,1868.911875072,0.00138844185198225,4134.259602432,0.0034616700975854
11/8/1987 8:00:00 AM,1925.545568256,0.00143051584749686,4134.259602432,0.0034616700975854
11/9/1987 8:00:00 AM,2067.129801216,0.00153570083628339,4134.259602432,0.0034616700975854
11/10/1987 8:00:00 AM,2010.496108032,0.00149362684076878,4247.5269888,0.00355651037423158
11/11/1987 8:00:00 AM,1472.476022784,0.00109392388337995,4275.843835392,0.00358022044339312
11/12/1987 8:00:00 AM,1472.476022784,0.00109392388337995,4275.843835392,0.00358022044339312
11/13/1987 8:00:00 AM,1925.545568256,0.00143051584749686,4247.5269888,0.00355651037423158
11/14/1987 8:00:00 AM,2067.129801216,0.00153570083628339,4332.477528576,0.00362764058171621
11/15/1987 8:00:00 AM,2180.397187584,0.00161984882731262,4445.744914944,0.00372248085836239
11/16/1987 8:00:00 AM,2491.882500096,0.00185125580264299,4587.329147904,0.00384103120417011
11/17/1987 8:00:00 AM,3936.041676288,0.00292414268826564,6088.12201728,0.00509766486973193
11/18/1987 8:00:00 AM,4020.992216064,0.00298725368153756,7305.746420736,0.00611719784367832
11/19/1987 8:00:00 AM,4247.5269888,0.00315554966359601,7872.083352576,0.00659139922690919
11/20/1987 8:00:00 AM,4304.160681984,0.00319762365911063,8834.856136704,0.00739754157840169
11/21/1987 8:00:00 AM,4474.061761536,0.00332384564565447,9429.509915136,0.00789545303079411
11/22/1987 8:00:00 AM,4643.962841088,0.00345006763219831,9854.262614016,0.00825110406821727
11/23/1987 8:00:00 AM,4643.962841088,0.00345006763219831,9939.213153792,0.00832223427570189
11/24/1987 8:00:00 AM,4559.012301312,0.00338695663892639,9910.8963072,0.00829852420654035
11/25/1987 8:00:00 AM,4417.428068352,0.00328177165013985,9627.72784128,0.00806142351492491
11/26/1987 8:00:00 AM,4247.5269888,0.00315554966359601,9372.876221952,0.00784803289247102
11/27/1987 8:00:00 AM,4105.94275584,0.00305036467480948,9231.291988992,0.0077294825466633
11/28/1987 8:00:00 AM,4162.576449024,0.00309243867032409,9259.608835584,0.00775319261582484
11/29/1987 8:00:00 AM,4105.94275584,0.00305036467480948,9372.876221952,0.00784803289247102
11/30/1987 8:00:00 AM,4020.992216064,0.00298725368153756,9627.72784128,0.00806142351492491
12/1/1987 8:00:00 AM,4020.992216064,0.00326531679967148,9910.8963072,0.01291823491459
12/2/1987 8:00:00 AM,4105.94275584,0.00333430236586172,9825.945767424,0.0128075071867507
12/3/1987 8:00:00 AM,4105.94275584,0.00333430236586172,9882.579460608,0.0128813256719769
