Date,Shelfwide,,,,,East-Area,,,,,West-Area,,,,,East-BWDO,,,,,West-BWDO,,,,,
Date,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,
5/2/2012,2320.85,1975,1580.34,425,6426.25,1100.9,900,712.73,187.5,3037.5,1219.9,775,1339.7,50,5125,4.6,4.62,0.5,3.59,5.51,5.36,5.37,0.47,4.36,6.2,LUMCONT
6/13/2012,15080.53,14987.5,2238.5,11123.13,19926.25,5803.4,5750,976.55,4075,7787.5,9277.1,9125,2011.5,5825,13550,2.5,2.51,0.29,1.93,3.04,3.55,3.54,0.26,3.05,4.08,TAMU
6/17/2012,9476.33,9400,1942.43,6074.38,13625.63,4085.7,4037.5,1112.8,2037.5,6475,5390.7,5275,1502.6,2725,8662.5,3.09,3.08,0.36,2.4,3.81,4.01,4.01,0.22,3.59,4.44,LUMCONT
6/23/2012,5118.1,4900,1836.95,2125,9101.25,2850.2,2700,1488.4,525,6212.5,2267.9,2150,942.69,825,4337.5,3.56,3.54,0.58,2.39,4.7,4.6,4.59,0.21,4.19,5,SEAMAP
7/25/2012,8038.18,7800,1779.51,5150,12025.63,1722.8,1600,688.36,675,3337.5,6315.4,6125,1567.9,3812.5,9775,3.68,3.7,0.32,3.04,4.29,3.97,3.99,0.28,3.38,4.5,LUMCON
8/18/2012,14400.05,14200,2489.58,10125,19826.25,7136.6,7100,925.41,5450,9125,7263.4,7025,2201.4,3787.5,11950,2.14,2.13,0.29,1.58,2.72,3.81,3.81,0.34,3.17,4.46,TAMU
8/21/2012,12932.63,12625,2787.77,8024.38,19125.63,6080.1,6087.5,1149.7,3812.5,8425,6852.6,6475,2448.7,2887.5,12813,2.4,2.39,0.35,1.72,3.09,3.89,3.89,0.37,3.15,4.6,LUMCONT
6/23/2013,14223.85,14225,3387.65,7974.38,21101.88,5272.8,5225,1952.8,1675,9150,8951.1,8862.5,2466.7,4587.5,14300,2.62,2.59,0.56,1.57,3.76,3.66,3.66,0.29,3.08,4.24,SEAMAP
7/24/2013,14811.43,14675,1608.53,11950,18200.63,3140,3100,542.25,2125,4250,11671,11550,1484.6,9112.5,14888,3.46,3.47,0.26,2.92,3.93,3.42,3.42,0.23,2.99,3.87,LUMCON
8/17/2013,12192.8,11487.5,5626.54,3399.38,24960,3653.8,3400,1994.5,575,7875,8539,7850,4732.1,1462.5,20213,3.24,3.23,0.73,1.87,4.68,3.78,3.8,0.6,2.52,5,LUMCONT
5/26/2014,10746.68,10162.5,5005.99,3023.75,22400.63,4462.1,4325,1960.2,1112.5,8575,6284.5,5525,4061.1,837.5,16150,2.99,2.99,0.69,1.71,4.34,4.14,4.16,0.62,2.92,5.29,LUMCONT
6/28/2014,14234.28,14112.5,2689.28,9149.38,19927.5,5039.4,5000,1445.6,2225,8050,9194.9,9012.5,1995.1,5812.5,13375,2.73,2.73,0.43,1.87,3.59,3.54,3.54,0.23,3.06,3.99,SEAMAP
7/29/2014,12804.9,12650,1918.66,9499.38,16850.63,5967.4,5912.5,642.64,4837.5,7362.5,6837.5,6700,1775.3,3875,10663,2.52,2.52,0.25,2.03,3.02,3.95,3.96,0.32,3.29,4.54,LUMCON
6/28/2015,8329.03,8100,2597.15,3949.38,13551.88,3187,3075,1597.6,575,6625,5142,4987.5,1835.7,2037.5,9275,3.35,3.34,0.59,2.22,4.55,4.12,4.13,0.27,3.57,4.65,SEAMAP
6/25/2016,19555.8,19525,2835.58,14124.38,25300.63,4653.7,4612.5,1931.6,1112.5,8450,14902,14938,1834.9,11300,18575,2.81,2.78,0.6,1.72,4.01,3.14,3.15,0.21,2.74,3.56,SEAMAP
