Date,bwdoE_hind,bwdoW_hind
1985-06-01,2.27619701248959,3.913395103926314
1985-06-02,2.298092182623642,3.932832797257212
1985-06-03,2.291792282325428,3.9149615624164613
1985-06-04,2.295009216659537,3.9209053690589637
1985-06-05,2.273058598392318,3.9448348211982567
1985-06-06,2.2504980503554948,4.001140925702581
1985-06-07,2.213791526214598,3.9447245313187325
1985-06-08,2.203391452236721,3.925628305041423
1985-06-09,2.191890400259266,3.9623252422276907
1985-06-10,2.1927595126645425,3.9205420193148277
1985-06-11,2.181412819011378,3.87259977716402
1985-06-12,2.2851229020318575,3.9125183974091327
1985-06-13,2.2555779320617324,3.8750253280738076
1985-06-14,2.2934553043817427,3.822399048749734
1985-06-15,2.3485401709426728,3.765483372277429
1985-06-16,2.4919574953832635,3.765681523040163
1985-06-17,2.5010738276482414,3.679592629762625
1985-06-18,2.535056357605292,3.7325083237883616
1985-06-19,2.535513093312446,3.797048128432692
1985-06-20,2.5058261459501097,3.729154565524528
1985-06-21,2.47458312465803,3.6784077406310867
1985-06-22,2.544550799027885,3.791706498627026
1985-06-23,2.5920730604455997,3.8054668782646983
1985-06-24,2.577944393678308,3.7558337315787083
1985-06-25,2.5558921713372182,3.707487944455347
1985-06-26,2.4935366857785857,3.617290998595557
1985-06-27,2.4320408696963502,3.574876580981824
1985-06-28,2.3971180121777893,3.5444816764961997
1985-06-29,2.379923539764032,3.516398564122582
1985-06-30,2.359942907209942,3.4319298348980465
1985-07-01,2.259847756172889,3.292119299625858
1985-07-02,2.261951909212255,3.2842221651149113
1985-07-03,2.267873089735884,3.2835781913203825
1985-07-04,2.247213936355951,3.2504763257240215
1985-07-05,2.2273358385080604,3.1882598671416087
1985-07-06,2.2857574921010877,3.200314554691879
1985-07-07,2.4276383952897103,3.2728906024038427
1985-07-08,2.4943904710688103,3.2530322462703287
1985-07-09,2.508143456416274,3.2784198168878045
1985-07-10,2.4820148330680682,3.3242427223462725
1985-07-11,2.474825150966045,3.419785045866512
1985-07-12,2.4560330443617344,3.4704895339065294
1985-07-13,2.4451967311299554,3.433936612617402
1985-07-14,2.3935311311135044,3.418871383841486
1985-07-15,2.3675929325861405,3.496009755572497
1985-07-16,2.375372911051695,3.5172022209458698
1985-07-17,2.3893488345452916,3.568991185366019
1985-07-18,2.3484506018545064,3.5408161789781953
1985-07-19,2.3276678081997204,3.505168995934773
1985-07-20,2.3380047904864933,3.4753737326295044
1985-07-21,2.324055721663184,3.4357404477023104
1985-07-22,2.305179296161376,3.4908645499393716
1985-07-23,2.3380084617865386,3.6199691539190804
1985-07-24,2.358444698637764,3.7223642959036427
1985-07-25,2.3912405372130086,3.843003944137591
1985-07-26,2.4152407224172077,3.9075793848742597
1985-07-27,2.435712804530086,3.9517479011000303
1985-07-28,2.476244027340655,4.000522906583667
1985-07-29,2.4542583356209606,3.9814754540005173
1985-07-30,2.486795126074291,3.977471342379121
1985-07-31,2.512070293586377,3.981076146116406
1985-08-01,2.556885053759722,4.038083708880121
1985-08-02,2.5801652268221393,4.051460879807318
1985-08-03,2.5911821459532125,4.029084390424399
1985-08-04,2.5947328912642416,4.038227955317633
1985-08-05,2.569305810764114,4.000035341624421
1985-08-06,2.5983337348356748,3.925765097387508
1985-08-07,2.613026666184945,3.9650846990690947
1985-08-08,2.6355796924668287,4.046429578464382
1985-08-09,2.657589878995982,4.026545926429625
1985-08-10,2.6741811365478223,4.045372825250637
1985-08-11,2.6834513374979823,4.102930035582271
1985-08-12,2.699044826499171,4.130052635905783
1985-08-13,2.6520562258933107,4.066819748770183
1985-08-14,2.680248846572076,4.050119684485397
1985-08-15,2.7745969682470664,4.077936679662211
1985-08-16,3.1049670241706733,4.2275918893111255
1985-08-17,3.1914129275269114,4.264485447608487
1985-08-18,3.1769191125171594,4.324467277656665
1985-08-19,3.1368065671345406,4.365049832900722
1985-08-20,3.1112619032996665,4.375571438887857
1985-08-21,3.061165555467637,4.37061806395514
1985-08-22,3.029739808634589,4.305503061355956
1985-08-23,2.9708614846263317,4.255436944630968
1985-08-24,2.9155263718529207,4.223189270727704
1985-08-25,2.861240197139819,4.223597375495226
1985-08-26,2.8155491331249416,4.156284170448118
1985-08-27,2.835739448974252,4.116135097869552
1985-08-28,2.9546465531298196,4.139740989262935
1985-08-29,3.0452119058369016,4.217452078099128
1985-08-30,3.048323890181785,4.148447064597492
1985-08-31,3.2108937778238613,4.165969232168126
1985-09-01,3.2881836998616216,4.22104110707035
1985-09-02,3.320531923901456,4.249728168988844
1985-09-03,3.4324586866733386,4.329575336028513
1985-09-04,3.528379595195554,4.527045562763249
1985-09-05,3.54473915298894,4.590906967567797
1985-09-06,3.520252526866856,4.602481142752074
1985-09-07,3.4997412684495375,4.57551334822376
1985-09-08,3.450607094327494,4.534426337044168
1985-09-09,3.4071200124209766,4.449888603357486
1985-09-10,3.323158148051243,4.338786864277021
1985-09-11,3.2590564010831318,4.230519927056234
1985-09-12,3.2188453916773843,4.177639573920089
1985-09-13,3.1149831371699865,4.0908826648131456
1985-09-14,3.053611076727925,4.0037890500264846
1985-09-15,3.2969818931273864,4.0412768585158805
1985-09-16,3.502550017875244,4.084258854361351
1985-09-17,3.521130431687003,4.028434779929177
1985-09-18,3.6738551460961606,4.075545924439927
1985-09-19,3.8603130457867243,4.147569204877713
1985-09-20,4.045748268502706,4.19018482034222
1985-09-21,4.197328842304408,4.202372285057343
1985-09-22,4.342534689401378,4.23044574548619
1985-09-23,4.413754288337994,4.168376030928369
1985-09-24,4.478849538366311,4.205944511811064
