Date,interp_ecw,interp_wsw
1985-01-15,-0.19730077439760732,4.831729591026742
1985-01-16,-0.24541042340311822,4.836443272550436
1985-01-17,-0.2935200724086291,4.841156954074129
1985-01-18,-0.34162972141414005,4.845870635597822
1985-01-19,-0.3897393704196509,4.850584317121515
1985-01-20,-0.43784901942516186,4.8552979986452085
1985-01-21,-0.4859586684306727,4.860011680168901
1985-01-22,-0.5340683174361837,4.864725361692594
1985-01-23,-0.5821779664416945,4.869439043216287
1985-01-24,-0.6302876154472055,4.8741527247399805
1985-01-25,-0.6783972644527163,4.878866406263674
1985-01-26,-0.7265069134582273,4.883580087787367
1985-01-27,-0.7746165624637381,4.88829376931106
1985-01-28,-0.8227262114692491,4.893007450834753
1985-01-29,-0.8708358604747599,4.897721132358447
1985-01-30,-0.9189455094802709,4.90243481388214
1985-01-31,-0.9670551584857817,4.907148495405832
1985-02-01,-1.0151648074912927,4.911862176929525
1985-02-02,-1.0632744564968037,4.916575858453219
1985-02-03,-1.1113841055023146,4.921289539976912
1985-02-04,-1.1594937545078254,4.926003221500605
1985-02-05,-1.2076034035133363,4.930716903024298
1985-02-06,-1.2557130525188474,4.9354305845479916
1985-02-07,-1.3038227015243582,4.940144266071685
1985-02-08,-1.351932350529869,4.944857947595378
1985-02-09,-1.4000419995353799,4.949571629119071
1985-02-10,-1.448151648540891,4.954285310642764
1985-02-11,-1.4962612975464018,4.958998992166457
1985-02-12,-1.5443709465519126,4.96371267369015
1985-02-13,-1.5924805955574235,4.968426355213843
1985-02-14,-1.6405902445629346,4.9731400367375365
1985-02-15,-1.6886998935684454,4.97785371826123
1985-02-16,-1.6801755268667333,5.000779223811194
1985-02-17,-1.6716511601650212,5.0237047293611585
1985-02-18,-1.6631267934633092,5.046630234911124
1985-02-19,-1.654602426761597,5.069555740461088
1985-02-20,-1.646078060059885,5.092481246011053
1985-02-21,-1.637553693358173,5.115406751561018
1985-02-22,-1.6290293266564608,5.138332257110982
1985-02-23,-1.6205049599547487,5.161257762660947
1985-02-24,-1.6119805932530367,5.184183268210911
1985-02-25,-1.6034562265513246,5.207108773760876
1985-02-26,-1.5949318598496125,5.230034279310841
1985-02-27,-1.5864074931479004,5.252959784860805
1985-02-28,-1.5778831264461883,5.27588529041077
1985-03-01,-1.5693587597444765,5.298810795960735
1985-03-02,-1.5608343930427644,5.3217363015106995
1985-03-03,-1.5523100263410523,5.344661807060664
1985-03-04,-1.5437856596393402,5.367587312610628
1985-03-05,-1.5352612929376281,5.390512818160594
1985-03-06,-1.526736926235916,5.413438323710558
1985-03-07,-1.518212559534204,5.4363638292605225
1985-03-08,-1.509688192832492,5.459289334810487
1985-03-09,-1.5011638261307798,5.482214840360452
1985-03-10,-1.4926394594290677,5.505140345910417
1985-03-11,-1.4841150927273556,5.528065851460381
1985-03-12,-1.4755907260256436,5.5509913570103455
1985-03-13,-1.4670663593239315,5.57391686256031
1985-03-14,-1.4585419926222194,5.596842368110275
1985-03-15,-1.4500176259205073,5.61976787366024
1985-03-16,-1.4533124230584016,5.643623017736943
1985-03-17,-1.456607220196296,5.667478161813646
1985-03-18,-1.4599020173341903,5.69133330589035
1985-03-19,-1.4631968144720848,5.715188449967053
1985-03-20,-1.466491611609979,5.739043594043757
1985-03-21,-1.4697864087478736,5.76289873812046
1985-03-22,-1.4730812058857679,5.786753882197163
1985-03-23,-1.4763760030236623,5.810609026273867
1985-03-24,-1.4796708001615566,5.834464170350571
1985-03-25,-1.4829655972994509,5.858319314427273
1985-03-26,-1.4862603944373454,5.882174458503977
1985-03-27,-1.4895551915752396,5.906029602580681
1985-03-28,-1.4928499887131341,5.929884746657384
1985-03-29,-1.4961447858510284,5.953739890734087
1985-03-30,-1.4994395829889229,5.977595034810791
1985-03-31,-1.5027343801268171,6.001450178887494
1985-04-01,-1.5060291772647116,6.025305322964198
1985-04-02,-1.509323974402606,6.049160467040901
1985-04-03,-1.5126187715405004,6.073015611117604
1985-04-04,-1.5159135686783947,6.096870755194308
1985-04-05,-1.519208365816289,6.120725899271012
1985-04-06,-1.5225031629541834,6.144581043347714
1985-04-07,-1.5257979600920777,6.168436187424418
1985-04-08,-1.5290927572299722,6.192291331501122
1985-04-09,-1.5323875543678664,6.216146475577824
1985-04-10,-1.535682351505761,6.240001619654528
1985-04-11,-1.5389771486436552,6.263856763731232
1985-04-12,-1.5422719457815497,6.287711907807935
1985-04-13,-1.545566742919444,6.311567051884639
1985-04-14,-1.5488615400573384,6.335422195961342
1985-04-15,-1.5521563371952327,6.359277340038045
1985-04-16,-1.502529462672855,6.327200107053156
1985-04-17,-1.4529025881504773,6.295122874068267
1985-04-18,-1.4032757136280996,6.263045641083378
1985-04-19,-1.353648839105722,6.230968408098489
1985-04-20,-1.3040219645833442,6.1988911751136
1985-04-21,-1.2543950900609664,6.1668139421287105
1985-04-22,-1.2047682155385888,6.134736709143821
1985-04-23,-1.155141341016211,6.102659476158933
1985-04-24,-1.1055144664938334,6.0705822431740435
1985-04-25,-1.0558875919714557,6.038505010189154
1985-04-26,-1.006260717449078,6.006427777204265
1985-04-27,-0.9566338429267002,5.974350544219376
1985-04-28,-0.9070069684043225,5.942273311234487
1985-04-29,-0.8573800938819448,5.910196078249598
1985-04-30,-0.8077532193595671,5.878118845264709
1985-05-01,-0.7581263448371894,5.846041612279819
1985-05-02,-0.7084994703148118,5.81396437929493
1985-05-03,-0.6588725957924341,5.781887146310042
1985-05-04,-0.6092457212700564,5.749809913325152
1985-05-05,-0.5596188467476786,5.717732680340263
